./kv/release/tests/db/kv_bench --writes=200000000 --rwdelay=5 --db=/mnt/nvm/kv1B --logpath=/mnt/ssd --threads=3 --open_files=20000 --range=1000000000 --num=1000000000 --reads=1000000 --bloom_bits=10 --low_pool=2 --high_pool=2 --stats_interval=1000000 --value_size=100 --benchmarks=readexpwhilewriting,stats --ycsb_ops_num=150000000 --use_existing_db=true --histogram=true --log=false --write_buffer_size=2097152 --skiplistrep=false --sleep=600 --print_wa=true --log_dio=true --hugepage=true 
Bench num: 1000000000, range: 1000000000
Keys:       16 bytes each
Values:     100 bytes each (50 bytes after compression)
Entries:    1000000000
RawSize:    110626.2 MB (estimated)
FileSize:   62942.5 MB (estimated)
WARNING: Snappy compression is not enabled
------------------------------------------------
Write buffer: 2048.00 KB. Compression: 0. 
Restore 121 pivots
Recover seq# 1010000000, log# 2, min log#0, file# 76068
using restored pivots
Log_Recover_Time, 0.0000, BucketCount, 121 , Log_size, 0.0 ,MB
2019/09/21-16:15:16  ... thread 3: (1000000,1000000) ops and (16911.5,16911.5) ops/second in (59.131399,59.131399) seconds
2019/09/21-16:15:16  ... thread 1: (1000000,1000000) ops and (16891.8,16891.8) ops/second in (59.200278,59.200278) seconds
2019/09/21-16:15:16  ... thread 2: (1000000,1000000) ops and (16850.7,16850.7) ops/second in (59.344548,59.344548) seconds
2019/09/21-16:15:36  ... thread 2: (1000000,2000000) ops and (49121.4,25093.4) ops/second in (20.357710,79.702258) seconds
2019/09/21-16:15:37  ... thread 3: (1000000,2000000) ops and (47918.2,24999.9) ops/second in (20.868888,80.000287) seconds
2019/09/21-16:15:37  ... thread 1: (1000000,2000000) ops and (48030.5,24993.6) ops/second in (20.820092,80.020370) seconds
2019/09/21-16:15:51  ... thread 1: (1000000,3000000) ops and (67895.7,31662.7) ops/second in (14.728476,94.748846) seconds
2019/09/21-16:15:52  ... thread 2: (1000000,3000000) ops and (65159.0,31562.6) ops/second in (15.347082,95.049340) seconds
2019/09/21-16:15:53  ... thread 3: (1000000,3000000) ops and (61254.5,31144.4) ops/second in (16.325323,96.325610) seconds
2019/09/21-16:16:06  ... thread 1: (1000000,4000000) ops and (67643.5,36518.9) ops/second in (14.783389,109.532235) seconds
